populacao,ano,sigla_uf,id_municipio
46771,2020,MA,210090
47095,2021,MA,210090
32764,2020,MA,210095
32825,2021,MA,210095
29932,2020,MA,210100
30014,2021,MA,210100
12183,2020,MA,210110
12234,2021,MA,210110
104790,2020,MA,210120
105094,2021,MA,210120
17252,2020,MA,210125
17446,2021,MA,210125
18654,2020,MA,210130
18726,2021,MA,210130
5670,2020,MA,210135
5696,2021,MA,210135
95929,2020,MA,210140
96951,2021,MA,210140
18924,2020,MA,210150
19026,2021,MA,210150
88492,2020,MA,210160
88895,2021,MA,210160
63217,2020,MA,210170
63891,2021,MA,210170
7528,2020,MA,210173
7586,2021,MA,210173
11279,2020,MA,210177
11347,2021,MA,210177
5638,2020,MA,210180
5643,2021,MA,210180
21299,2020,MA,210190
21317,2021,MA,210190
6073,2020,MA,210193
6102,2021,MA,210193
8382,2020,MA,210197
8494,2021,MA,210197
41822,2020,MA,210200
42010,2021,MA,210200
34567,2020,MA,210203
35095,2021,MA,210203
16438,2020,MA,210207
16578,2021,MA,210207
36651,2020,MA,210210
36900,2021,MA,210210
9014,2020,MA,210215
8841,2021,MA,210215
28798,2020,MA,210220
28916,2021,MA,210220
23939,2020,MA,210230
23993,2021,MA,210230
72983,2020,MA,210232
73595,2021,MA,210232
15467,2020,MA,210235
15503,2021,MA,210235
9478,2020,MA,210237
9524,2021,MA,210237
11216,2020,MA,210240
11255,2021,MA,210240
19451,2020,MA,210250
19521,2021,MA,210250
14453,2020,MA,210255
14530,2021,MA,210255
20278,2020,MA,210260
20376,2021,MA,210260
22117,2020,MA,210270
22236,2021,MA,210270
10935,2020,MA,210275
10937,2021,MA,210275
24165,2020,MA,210280
24151,2021,MA,210280
23952,2020,MA,210290
24095,2021,MA,210290
165525,2020,MA,210300
166159,2021,MA,210300
10693,2020,MA,210310
10711,2021,MA,210310
8740,2020,MA,210312
8806,2021,MA,210312
13670,2020,MA,210315
13876,2021,MA,210315
21840,2020,MA,210317
22056,2021,MA,210317
80195,2020,MA,210320
80705,2021,MA,210320
14777,2020,MA,210325
14855,2021,MA,210325
123116,2020,MA,210330
123368,2021,MA,210330
49621,2020,MA,210340
49804,2021,MA,210340
41312,2020,MA,210350
41443,2021,MA,210350
16400,2020,MA,210355
16559,2021,MA,210355
65544,2020,MA,210360
65788,2021,MA,210360
32626,2020,MA,210370
32559,2021,MA,210370
12916,2020,MA,210375
12923,2021,MA,210375
23372,2020,MA,210380
23393,2021,MA,210380
11401,2020,MA,210390
11451,2021,MA,210390
17104,2020,MA,210400
16971,2021,MA,210400
42527,2020,MA,210405
43097,2021,MA,210405
8484,2020,MA,210407
8506,2021,MA,210407
10460,2020,MA,210408
10559,2021,MA,210408
19258,2020,MA,210409
19425,2021,MA,210409
12647,2020,MA,210410
12662,2021,MA,210410
15567,2020,MA,210420
17812,2021,MA,210420
11963,2020,MA,210430
12104,2021,MA,210430
17944,2020,MA,210440
17953,2021,MA,210440
10886,2020,MA,210450
10931,2021,MA,210450
18520,2020,MA,210455
18740,2021,MA,210455
16882,2020,MA,210460
14703,2021,MA,210460
7841,2020,MA,210462
7878,2021,MA,210462
10151,2020,MA,210465
10121,2021,MA,210465
25539,2020,MA,210467
25502,2021,MA,210467
6261,2020,MA,210470
6261,2021,MA,210470
70065,2020,MA,210480
70692,2021,MA,210480
11997,2020,MA,210490
11966,2021,MA,210490
28932,2020,MA,210500
29143,2021,MA,210500
27269,2020,MA,210510
27423,2021,MA,210510
14324,2020,MA,210515
14470,2021,MA,210515
11387,2020,MA,210520
11453,2021,MA,210520
259337,2020,MA,210530
259980,2021,MA,210530
16005,2020,MA,210535
16158,2021,MA,210535
68723,2020,MA,210540
69233,2021,MA,210540
26068,2020,MA,210542
26134,2021,MA,210542
10310,2020,MA,210545
10464,2021,MA,210545
17040,2020,MA,210547
17123,2021,MA,210547
23740,2020,MA,210550
23677,2021,MA,210550
16198,2020,MA,210560
16228,2021,MA,210560
4392,2020,MA,210565
4334,2021,MA,210565
50616,2020,MA,210570
50959,2021,MA,210570
10869,2020,MA,210580
10900,2021,MA,210580
16314,2020,MA,210590
16369,2021,MA,210590
11265,2020,MA,210592
11280,2021,MA,210592
8857,2020,MA,210594
8841,2021,MA,210594
11464,2020,MA,210596
11534,2021,MA,210596
7602,2020,MA,210598
7653,2021,MA,210598
11918,2020,MA,210600
11943,2021,MA,210600
12214,2020,MA,210610
12271,2021,MA,210610
6984,2020,MA,210620
7016,2021,MA,210620
20029,2020,MA,210630
20228,2021,MA,210630
21586,2020,MA,210632
21773,2021,MA,210632
7775,2020,MA,210635
7757,2021,MA,210635
16511,2020,MA,210637
16754,2021,MA,210637
16977,2020,MA,210640
17122,2021,MA,210640
23482,2020,MA,210650
23591,2021,MA,210650
33943,2020,MA,210660
34099,2021,MA,210660
17033,2020,MA,210663
17316,2021,MA,210663
8483,2020,MA,210667
8502,2021,MA,210667
21031,2020,MA,210670
21045,2021,MA,210670
28754,2020,MA,210675
29121,2021,MA,210675
15011,2020,MA,210680
15059,2021,MA,210680
33664,2020,MA,210690
33888,2021,MA,210690
9111,2020,MA,210700
9064,2021,MA,210700
19572,2020,MA,210710
19708,2021,MA,210710
14642,2020,MA,210720
14826,2021,MA,210720
5427,2020,MA,210725
5469,2021,MA,210725
4682,2020,MA,210730
4682,2021,MA,210730
21080,2020,MA,210735
21228,2021,MA,210735
